9_28 	-1, 9, -2, 1, -4, 5, -9, 2, -7, 8, -3, 4, -5, 3, -6, 7, -8, 6
9_29 	1, -4, 3, -7, 5, -1, 6, -9, 7, -3, 2, -8, 9, -5, 4, -2, 8, -6
9_30 	1, -4, 3, -1, 2, -9, 5, -3, 4, -2, 7, -8, 9, -5, 6, -7, 8, -6
9_31 	-1, 9, -2, 1, -4, 5, -6, 8, -9, 2, -3, 4, -7, 6, -8, 7, -5, 3
9_32 	-1, 4, -3, 1, -7, 9, -5, 3, -4, 6, -8, 7, -2, 5, -6, 8, -9, 2
9_33 	1, -4, 3, -1, 6, -7, 2, -3, 4, -9, 8, -2, 5, -6, 9, -8, 7, -5
9_34 	1, -4, 3, -7, 6, -1, 2, -3, 5, -6, 8, -9, 7, -5, 4, -2, 9, -8
9_35 	-1, 7, -8, 9, -3, 5, -2, 1, -4, 6, -9, 8, -7, 2, -5, 3, -6, 4
9_36 	-1, 4, -3, 1, -6, 7, -2, 3, -4, 2, -5, 9, -8, 6, -7, 5, -9, 8
9_37 	-1, 4, -3, 1, -5, 6, -2, 9, -8, 3, -4, 2, -6, 5, -7, 8, -9, 7
9_38 	-1, 9, -5, 6, -2, 1, -3, 4, -6, 5, -8, 7, -9, 2, -4, 8, -7, 3
9_39 	-1, 8, -2, 7, -6, 1, -3, 9, -5, 2, -8, 4, -9, 6, -7, 5, -4, 3
9_40 	-1, 4, -6, 7, -3, 1, -2, 8, -7, 5, -4, 2, -9, 3, -5, 6, -8, 9
9_41 	1, -5, 4, -6, 3, -1, 2, -7, 8, -4, 5, -2, 9, -3, 6, -8, 7, -9
9_42 	-1, 4, -3, 1, -2, -7, 6, 3, -4, 2, 5, -9, 8, -6, 7, -5, 9, -8
9_43 	1, 6, -8, 7, -6, -5, 9, 8, -7, -2, 4, -3, 5, -9, 2, -1, 3, -4
9_44 	-1, 4, -3, 1, -2, -9, 5, 3, -4, 2, 7, -8, 9, -5, 6, -7, 8, -6
9_45 	1, -4, 3, -1, 2, 9, -5, -3, 4, -2, 7, -8, -9, 5, 6, -7, 8, -6
9_46 	1, -4, 3, -1, -5, 6, -2, 9, -8, -3, 4, 2, -6, 5, -7, 8, -9, 7
9_47 	1, -4, 3, -7, 6, -1, 2, -3, 5, -6, -8, 9, 7, -5, 4, -2, -9, 8
9_48 	-1, 4, -3, 1, 5, -6, 2, 9, -8, 3, -4, -2, 6, -5, -7, 8, -9, 7
9_49 	1, 5, -4, 6, -3, -1, 2, 7, -8, 4, -5, -2, 9, 3, -6, 8, -7, -9
10_1 	-1, 4, -3, 1, -5, 10, -6, 9, -7, 8, -2, 3, -4, 2, -8, 7, -9, 6, -10, 5
10_2 	-1, 4, -3, 1, -2, 8, -5, 9, -6, 10, -7, 3, -4, 2, -8, 5, -9, 6, -10, 7
10_3 	-1, 6, -4, 5, -3, 1, -7, 10, -8, 9, -2, 3, -5, 4, -6, 2, -9, 8, -10, 7
10_4 	-1, 4, -3, 8, -5, 1, -6, 10, -7, 9, -2, 3, -8, 5, -4, 2, -9, 7, -10, 6
10_5 	-1, 10, -2, 1, -4, 7, -5, 8, -6, 9, -10, 2, -3, 4, -7, 5, -8, 6, -9, 3
